Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
76,Nutrire,,,5 days
77,Nutrition & Metabolism,,,
78,Nutrition Journal,,,
79,neurogenetics,,,2.2 (2022)
80,neuropsychiatrie,0948-6259,2194-1327,17 days
81,Annals of Telecommunications,0003-4347,1958-9395,1.9 (2022)
82,Annals of Vascular Surgery,,,
83,Annals of the Institute of Statistical Mathematics,0020-3157,1572-9052,1.0 (2022)
84,Annual Abstract of Statistics,,,
85,Anthropocene Coasts,,2561-4150,2.4 (2022)
86,Anthropocene Science,,,14 days
87,Antimicrobial Resistance & Infection Control,,,
88,Antonie van Leeuwenhoek,0003-6072,1572-9699,2.6 (2022)
89,Anästhesie Nachrichten,2617-2127,2731-3972,"25,774 (2022)"
90,Apidologie,0044-8435,1297-9678,2.4 (2022)
91,Apoptosis,1360-8185,1573-675X,7.2 (2022)
92,"Applicable Algebra in Engineering, Communication and Computing",0938-1279,1432-0622,0.7 (2022)
93,Applications of Mathematics,0862-7940,1572-9109,0.7 (2022)
94,Applied Adhesion Science,,,
95,Applied Biochemistry and Biotechnology,0273-2289,1559-0291,3.0 (2022)
96,Applied Biochemistry and Microbiology,0003-6838,1608-3024,0.8 (2022)
97,Applied Bioinformatics,,,
98,Applied Biological Chemistry,,,
99,Applied Cancer Research,,,
100,Applied Categorical Structures,0927-2852,1572-9095,0.6 (2022)
101,Applied Composite Materials,0929-189X,1573-4897,2.3 (2022)
102,Applied Entomology and Zoology,0003-6862,1347-605X,1.3 (2022)
103,Applied Geomatics,1866-9298,1866-928X,2.7 (2022)
104,Applied Geophysics,1672-7975,1993-0658,0.7 (2022)
105,Applied Health Economics and Health Policy,1175-5652,1179-1896,3.6 (2022)
106,Applied Informatics,,,
107,Applied Intelligence,0924-669X,1573-7497,5.3 (2022)
108,Applied Magnetic Resonance,0937-9347,1613-7507,1.0 (2022)
109,Applied Mathematics & Optimization,0095-4616,1432-0606,1.8 (2022)
110,Applied Mathematics and Mechanics,0253-4827,1573-2754,4.4 (2022)
111,Applied Mathematics-A Journal of Chinese Universities,1005-1031,1993-0445,1.0 (2022)
112,Applied Microbiology and Biotechnology,0175-7598,1432-0614,5.0 (2022)
113,Applied Microscopy,,,
114,Applied Nanoscience,2190-5509,2190-5517,10 days
115,Applied Network Science,,,
116,Applied Petrochemical Research,,,
117,Applied Physics A,0947-8396,1432-0630,2.7 (2022)
118,Applied Physics B,0946-2171,1432-0649,2.1 (2022)
119,Applied Psychophysiology and Biofeedback,1090-0586,1573-3270,3.0 (2022)
120,Applied Research in Quality of Life,1871-2584,1871-2576,3.4 (2022)
121,Applied Scientific Research,,,
122,Applied Solar Energy,0003-701X,1934-9424,"14,717 (2022)"
123,Applied Spatial Analysis and Policy,1874-463X,1874-4621,1.9 (2022)
124,,,,
125,Analysis in Theory and Applications,,,
126,Aquaculture International,0967-6120,1573-143X,2.9 (2022)
127,Aquarium Sciences and Conservation,,,
128,Aquatic Biosystems,,,
129,Aquatic Ecology,1386-2588,1573-5125,1.8 (2022)
130,Aquatic Geochemistry,1380-6165,1573-1421,1.6 (2022)
131,Aquatic Sciences,1015-1621,1420-9055,2.4 (2022)
132,Arabian Journal for Science and Engineering,2193-567X,2191-4281,2.9 (2022)
133,Arabian Journal of Geosciences,1866-7511,1866-7538,22 days
134,Arabian Journal of Mathematics,2193-5343,2193-5351,1.2 (2022)
135,Archaeological and Anthropological Sciences,1866-9557,1866-9565,2.2 (2022)
136,Archaeologies,1555-8622,1935-3987,0.4 (2022)
137,"Archaeology, Ethnology and Anthropology of Eurasia",,,
138,Architectural Intelligence,,2731-6726,
139,"Architecture, Structures and Construction",2730-9886,2730-9894,17 days
140,Archiv der Mathematik,0003-889X,1420-8938,0.6 (2022)
141,Archiv für Mikroskopische Anatomie,,,
142,Archival Science,1389-0166,1573-7500,1.1 (2022)
143,Archive for History of Exact Sciences,0003-9519,1432-0657,0.5 (2022)
144,Archive for Mathematical Logic,0933-5846,1432-0665,0.3 (2022)
145,Archive for Rational Mechanics and Analysis,0003-9527,1432-0673,2.5 (2022)
146,Archive of Applied Mechanics,0939-1533,1432-0681,2.8 (2022)
147,Archives and Museum Informatics,,,
148,Archives of Civil and Mechanical Engineering,,,4.4 (2022)
149,Archives of Computational Methods in Engineering,1134-3060,1886-1784,9.7 (2022)
150,Archives of Dermatological Research,,,3.0 (2022)
151,Archives of Environmental Contamination and Toxicology,0090-4341,1432-0703,4.0 (2022)
152,Archives of Gynecology and Obstetrics,,,2.6 (2022)
153,Archives of Microbiology,0302-8933,1432-072X,2.8 (2022)
154,Archives of Orthopaedic and Trauma Surgery,,,2.3 (2022)
155,Archives of Osteoporosis,,,3.0 (2022)
156,Archives of Pharmacal Research,0253-6269,1976-3786,6.7 (2022)
157,Archives of Physiotherapy,,,
158,Archives of Public Health,,,
159,Archives of Sexual Behavior,0004-0002,1573-2800,3.8 (2022)
160,Archives of Suicide Research,,,
161,Archives of Toxicology,0340-5761,1432-0738,6.1 (2022)
162,Archives of Virology,0304-8608,1432-8798,2.7 (2022)
163,Archives of Women's Mental Health,1434-1816,1435-1102,4.5 (2022)
164,Archivio di Ortopedia e Reumatologia,,,
165,Archivum Immunologiae et Therapiae Experimentalis,0004-069X,1661-4917,3.2 (2022)
166,ArgoSpine News & Journal,,,
167,Argumentation,0920-427X,1572-8374,1.2 (2022)
168,Arid Ecosystems,2079-0961,2079-0988,0.8 (2022)
169,Arkiv för Matematik,,,
170,Arnold Mathematical Journal,2199-6792,2199-6806,26 days
171,Artery Research,,,
172,Arthritis Research & Therapy,,,
173,Arthroplasty,,,
174,Arthropod-Plant Interactions,,,1.6 (2022)
175,Arthroskopie,0933-7946,1434-3924,0.2 (2022)
176,Artificial Intelligence Review,0269-2821,1573-7462,12.0 (2022)
177,Artificial Intelligence and Law,0924-8463,1572-8382,4.1 (2022)
178,Artificial Life and Robotics,1433-5298,1614-7456,0.9 (2022)
179,Asia Europe Journal,1610-2932,1612-1031,1.6 (2022)
180,Asia Pacific Education Review,1598-1037,1876-407X,2.3 (2022)
181,Asia Pacific Family Medicine,,,
182,Asia Pacific Journal of Management,0217-4561,1572-9958,5.4 (2022)
183,Asia Pacific Journal on Computational Engineering,,,
184,Asia-Pacific Financial Markets,1387-2834,1573-6946,1.7 (2022)
185,Asia-Pacific Journal of Atmospheric Sciences,1976-7633,1976-7951,2.3 (2022)
186,Asia-Pacific Journal of Innovation in Hospitality and Tourism (APJIHT),,,
187,Asia-Pacific Journal of Regional Science,2509-7946,2509-7954,1.4 (2022)
188,Asia-Pacific Science Education,,,
189,Asian Archaeology,2520-8098,2520-8101,96 days
190,Asian Bioethics Review,1793-8759,1793-9453,2.9 (2022)
191,Asian Business & Management,1472-4782,1476-9328,
192,Asian Journal of Atmospheric Environment,,2287-1160,1.5 (2022)
193,Asian Journal of Business Ethics,2210-6723,2210-6731,1.3 (2022)
194,Asian Journal of Civil Engineering,1563-0854,2522-011X,4 days
195,Asian Journal of Criminology,1871-0131,1871-014X,1.9 (2022)
196,Asian Journal of Gambling Issues and Public Health,,,
197,Asian Journal of German and European Studies,,,
198,Asian Journal of Philosophy,,,6 days
199,Asian Journal of Sustainability and Social Responsibility,,,
200,Asian Review of Political Economy,,2731-5835,
201,Asian-Pacific Journal of Second and Foreign Language Education,,,
202,Asthma Research and Practice,,,
203,Astrodynamics,2522-008X,2522-0098,6.1 (2022)
204,Astronomy Letters,1063-7737,1562-6873,0.9 (2022)
205,Astronomy Reports,1063-7729,1562-6881,1.0 (2022)
206,Astrophysical Bulletin,1990-3413,1990-3421,1.2 (2022)
207,Astrophysics,0571-7256,1573-8191,0.5 (2022)
208,Astrophysics and Space Science,0004-640X,1572-946X,1.9 (2022)
209,Atlantic Economic Journal,0197-4254,1573-9678,0.6 (2022)
210,Atmospheric and Oceanic Optics,1024-8560,2070-0393,0.7 (2022)
211,Atomic Energy,1063-4258,1573-8205,0.5 (2022)
212,"Attention, Perception, & Psychophysics",1943-3921,1943-393X,1.7 (2022)
213,Augmented Human Research,2365-4317,2365-4325,42 days
214,Australasian Plant Disease Notes,,,0.9 (2022)
215,Australasian Plant Pathology,0815-3191,1448-6032,1.4 (2022)
216,Australia and New Zealand Health Policy,,,
217,Auto Tech Review,,,
218,Autoimmunity Highlights,,,
219,Automated Experimentation,,,
220,Automated Software Engineering,0928-8910,1573-7535,3.4 (2022)
221,Automatic Control and Computer Sciences,0146-4116,1558-108X,0.9 (2022)
222,Automatic Documentation and Mathematical Linguistics,0005-1055,1934-8371,0.5 (2022)
223,Automation and Remote Control,0005-1179,1608-3032,0.7 (2022)
224,Automotive Agenda,,,
225,Automotive Innovation,2096-4250,2522-8765,6.1 (2022)
226,Automotive and Engine Technology,2365-5127,2365-5135,12 days
227,Autonomous Agents and Multi-Agent Systems,1387-2532,1573-7454,1.9 (2022)
228,Autonomous Intelligent Systems,,2730-616X,
229,Autonomous Robots,0929-5593,1573-7527,3.5 (2022)
230,Avian Research,,,
231,aBIOTECH,,,3.6 (2022)
232,acta ethologica,0873-9749,1437-9546,1.1 (2022)
233,adhesion ADHESIVES + SEALANTS,,,"13,585 (2022)"
234,adhäsion KLEBEN & DICHTEN,1619-1919,2192-8681,"26,466 (2022)"
235,arktos,,,
236,Journal of Dynamics and Differential Equations,1040-7294,1572-9222,1.3 (2022)
237,Journal of Earth Science,1674-487X,1867-111X,3.3 (2022)
238,Journal of Earth System Science,,,1.9 (2022)
239,Journal of East Asian Linguistics,0925-8558,1572-8560,0.5 (2022)
240,Journal of Eating Disorders,,,
241,Journal of Echocardiography,1349-0222,1880-344X,1.6 (2022)
242,Journal of Ecology and Environment,,,
243,Journal of Economic Growth,1381-4338,1573-7020,2.3 (2022)
244,Journal of Economic Interaction and Coordination,1860-711X,1860-7128,1.1 (2022)
245,Journal of Economic Structures,,,
246,Journal of Economics,0931-8658,1617-7134,1.7 (2022)
247,Journal of Economics and Finance,1055-0925,1938-9744,11 days
248,"Journal of Economics, Race, and Policy",2520-8411,2520-842X,"35,817 (2022)"
249,Journal of Educational Change,1389-2843,1573-1812,2.8 (2022)
250,Journal of Elasticity,0374-3535,1573-2681,2.0 (2022)
251, Journal of Electric Propulsion,,2731-4596,
252,Journal of Electrical Engineering & Technology,1975-0102,2093-7423,1.9 (2022)
253,Journal of Electrical Systems and Information Technology,,,
254,Journal of Electroceramics,1385-3449,1573-8663,1.7 (2022)
255,Journal of Electronic Materials,,,2.1 (2022)
256,Journal of Electronic Testing,0923-8174,1573-0727,0.9 (2022)
257,Journal of Electronics (China),,,
258,Journal of Elementary Science Education,,,
259,Journal of Elliptic and Parabolic Equations,2296-9020,2296-9039,0.8 (2022)
260,Journal of Endocrinological Investigation,,,5.4 (2022)
261,Journal of Engineering Mathematics,0022-0833,1573-2703,1.3 (2022)
262,Journal of Engineering Physics and Thermophysics,1062-0125,1573-871X,0.6 (2022)
263,Journal of Engineering Research,,,
264,Journal of Engineering Thermophysics,1810-2328,1990-5432,2.4 (2022)
265,Journal of Engineering and Applied Science,,,
266,Journal of Environmental Health Science and Engineering,,,3.4 (2022)
267,Journal of Environmental Studies and Sciences,2190-6483,2190-6491,2.1 (2022)
268,Journal of Epidemiology and Global Health,,,7.3 (2022)
269,Journal of Ethnic Foods,,,
270,Journal of Ethnobiology and Ethnomedicine,,,
271,Journal of Ethology,0289-0771,1439-5444,0.9 (2022)
272,Journal of Evolution Equations,1424-3199,1424-3202,1.4 (2022)
273,Journal of Evolutionary Biochemistry and Physiology,0022-0930,1608-3202,0.6 (2022)
274,Journal of Evolutionary Economics,0936-9937,1432-1386,1.8 (2022)
275,Journal of Experimental & Clinical Assisted Reproduction,,,
276,Journal of Experimental & Clinical Cancer Research,,,
277,Journal of Experimental Criminology,1573-3750,1572-8315,3.0 (2022)
278,Journal of Experimental Orthopaedics,,,
279,Journal of Experimental and Theoretical Physics,1063-7761,1090-6509,1.1 (2022)
280,Journal of Failure Analysis and Prevention,1547-7029,1864-1245,1.2 (2022)
281,Journal of Family Violence,0885-7482,1573-2851,3.8 (2022)
282,Journal of Family and Economic Issues,1058-0476,1573-3475,2.4 (2022)
283,Journal of Fetal Medicine,,,
284,Journal of Financial Services Marketing,1363-0539,1479-1846,
285,Journal of Financial Services Research,0920-8550,1573-0735,1.4 (2022)
286,Journal of Fixed Point Theory and Applications,1661-7738,1661-7746,1.8 (2022)
287,Journal of Flow Chemistry,2062-249X,2063-0212,2.7 (2022)
288,Journal of Fluorescence,1053-0509,1573-4994,2.7 (2022)
289,Journal of Food Measurement and Characterization,2193-4126,2193-4134,3.4 (2022)
290,Journal of Food Science and Technology,0022-1155,0975-8402,3.1 (2022)
291,Journal of Foot and Ankle Research,,,
292,Journal of Forest Research,,,
293,Journal of Forestry Research,1007-662X,1993-0607,3.0 (2022)
294,Journal of Formative Design in Learning,,,1.5 (2022)
295,Journal of Fourier Analysis and Applications,1069-5869,1531-5851,1.2 (2022)
296,Journal of Friction and Wear,1068-3666,1934-9386,0.7 (2022)
297,Journal of Frugal Innovation,,,
298,Journal of Fusion Energy,,,1.1 (2022)
299,Journal of Gambling Studies,,,2.4 (2022)
300,Journal of Gastroenterology,0944-1174,1435-5922,6.3 (2022)
301,Journal of Gastrointestinal Cancer,1941-6628,1941-6636,1.6 (2022)
302,Journal of Gastrointestinal Surgery,1091-255X,1873-4626,3.2 (2022)
303,"Journal of Gender, Culture, and Health",,,
304,Journal of General Internal Medicine,0884-8734,1525-1497,5.7 (2022)
305,Journal of General Plant Pathology,1345-2630,1610-739X,1.2 (2022)
306,Journal of Genetic Counseling,,,
307,Journal of Genetic Engineering and Biotechnology,,,
308,Journal of Genetics,,,1.5 (2022)
309,Journal of Geodesy,0949-7714,1432-1394,4.4 (2022)
310,Journal of Geographical Sciences,1009-637X,1861-9568,4.9 (2022)
311,Journal of Geographical Systems,1435-5930,1435-5949,2.9 (2022)
312,Journal of Geometry,0047-2468,1420-8997,0.6 (2022)
313,Journal of Geovisualization and Spatial Analysis,2509-8810,2509-8829,4.0 (2022)
314,Journal of Global Entrepreneurship Research,,,11 days
315,Journal of Global Optimization,0925-5001,1573-2916,1.8 (2022)
316,Journal of Global Policy and Governance,,,
317,Journal of Grid Computing,1570-7873,1572-9184,5.5 (2022)
318,Journal of Hand and Microsurgery,,,
319,Journal of Happiness Studies,1389-4978,1573-7780,4.6 (2022)
320,Journal of Hardware and Systems Security,2509-3428,2509-3436,8 days
321,Journal of Health Service Psychology,,,18 days
322,"Journal of Health, Population and Nutrition",,,
323,Journal of Healthcare Informatics Research,2509-4971,2509-498X,5.9 (2022)
324,Journal of Heat Treating,,,
325,Journal of Hematology & Oncology,,,
326,Journal of Hematopathology,1868-9256,1865-5785,0.6 (2022)
327,Journal of Hepato-Biliary-Pancreatic Sciences,,,
328,Journal of Heuristics,1381-1231,1572-9397,2.7 (2022)
329,Journal of High Energy Physics,,1029-8479,5.4 (2022)
330,Journal of Homotopy and Related Structures,2193-8407,1512-2891,0.5 (2022)
331,Journal of Housing and the Built Environment,1566-4910,1573-7772,1.9 (2022)
332,Journal of Human Rights and Social Work,,,1.2 (2022)
333,Journal of Hydrodynamics,1001-6058,1878-0342,2.5 (2022)
334,Journal of Iberian Geology,1698-6180,1886-7995,1.3 (2022)
335,Journal of Ichthyology,0032-9452,1555-6425,0.7 (2022)
336,Journal of Digital Imaging,,,4.4 (2022)
337,Journal of Immigrant and Minority Health,1557-1912,1557-1920,1.9 (2022)
338,Journal of Immune Based Therapies and Vaccines,,,
339,Journal of Inclusion Phenomena and Macrocyclic Chemistry,1388-3127,1573-1111,2.3 (2022)
340,Journal of Indian Council of Philosophical Research,0970-7794,2363-9962,0.1 (2022)
341,Journal of Indian Philosophy,0022-1791,1573-0395,0.3 (2022)
342,Journal of Industrial Engineering International,,,
343,Journal of Industrial Microbiology & Biotechnology,,,
344,Journal of Industrial and Business Economics,0391-2078,1972-4977,4.6 (2022)
345,"Journal of Industry, Competition and Trade",1566-1679,1573-7012,1.9 (2022)
346,Journal of Inequalities and Applications,,,
347,Journal of Infection and Chemotherapy,,,
348,Journal of Inflammation,,,
349,Journal of Information Technology,,,
350,Journal of Information Technology Teaching Cases,,,
351,"Journal of Infrared, Millimeter, and Terahertz Waves",1866-6892,1866-6906,2.9 (2022)
352,Journal of Infrastructure Preservation and Resilience,,,
353,Journal of Inherited Metabolic Disease,,,
354,Journal of Innovation and Entrepreneurship,,,
355,Journal of Inorganic and Organometallic Polymers and Materials,1574-1443,1574-1451,4.0 (2022)
356,Journal of Insect Behavior,0892-7553,1572-8889,1.0 (2022)
357,Journal of Insect Conservation,1366-638X,1572-9753,1.9 (2022)
358,Journal of Intelligent & Robotic Systems,0921-0296,1573-0409,3.3 (2022)
359,Journal of Intelligent Information Systems,0925-9902,1573-7675,3.4 (2022)
360,Journal of Intelligent Manufacturing,0956-5515,1572-8145,8.3 (2022)
361,Journal of Intensive Care,,,
362,Journal of Interaction Science,,,
363,Journal of International Business Policy,2522-0691,2522-0705,
364,Journal of International Business Studies,0047-2506,1478-6990,
365,Journal of International Entrepreneurship,1570-7385,1573-7349,3.3 (2022)
366,Journal of International Humanitarian Action,,,
367,Journal of International Migration and Integration,1488-3473,1874-6365,1.3 (2022)
368,Journal of International Relations and Development,1408-6980,1581-1980,
369,Journal of Internet Services and Applications,,,
370,Journal of Interventional Cardiac Electrophysiology,,,1.8 (2022)
371,Journal of Iron and Steel Research International,1006-706X,2210-3988,2.5 (2022)
372,Journal of Labor Research,0195-3613,1936-4768,0.8 (2022)
373,"Journal of Logic, Language and Information",0925-8531,1572-9583,0.8 (2022)
374,Journal of Low Temperature Physics,0022-2291,1573-7357,2.0 (2022)
375,Journal of Machinery Manufacture and Reliability,1052-6188,1934-9394,0.3 (2022)
376,Journal of Mammalian Evolution,1064-7554,1573-7055,1.9 (2022)
377, Journal of Mammary Gland Biology and Neoplasia,1083-3021,1573-7039,2.5 (2022)
378,Journal of Management Control,2191-4761,2191-477X,3.3 (2022)
379,Journal of Management and Governance,1385-3457,1572-963X,2.7 (2022)
380,Journal of Marine Science and Application,1671-9433,1993-5048,1.8 (2022)
381,Journal of Marine Science and Technology,0948-4280,1437-8213,2.6 (2022)
382,Journal of Maritime Archaeology,1557-2285,1557-2293,0.6 (2022)
383,Journal of Market-Focused Management,,,
384,Journal of Marketing Analytics,2050-3318,2050-3326,
385,Journal of Material Cycles and Waste Management,1438-4957,1611-8227,3.1 (2022)
386,Journal of Materials Engineering,,,
387,Journal of Materials Engineering and Performance,,,2.3 (2022)
388,Journal of Materials Research,0884-2914,2044-5326,2.7 (2022)
389,Journal of Materials Science,0022-2461,1573-4803,4.5 (2022)
390,Journal of Materials Science Letters,,,
391,Journal of Materials Science: Materials in Electronics,0957-4522,1573-482X,2.8 (2022)
392,Journal of Materials Science: Materials in Medicine ,,1573-4838,3.7 (2022)
393,Journal of Materials Shaping Technology,,,
394,Journal of Materials Synthesis and Processing,,,
395,Journal of Materials for Energy Systems,,,
396,Journal of Mathematical Biology,0303-6812,1432-1416,1.9 (2022)
397,Journal of Mathematical Chemistry,0259-9791,1572-8897,1.7 (2022)
398,Journal of Mathematical Fluid Mechanics,1422-6928,1422-6952,1.3 (2022)
399,Journal of Mathematical Imaging and Vision,0924-9907,1573-7683,2.0 (2022)
400,Journal of Mathematical Modelling and Algorithms in Operations Research,,,
401,Journal of Mathematical Sciences,1072-3374,1573-8795,6 days
402,Journal of Mathematics Teacher Education,1386-4416,1573-1820,2.1 (2022)
403,Journal of Mathematics in Industry,,,
404,Journal of Maxillofacial and Oral Surgery,0972-8279,0974-942X,0.9 (2022)
405,Journal of Mechanical Science and Technology,1738-494X,1976-3824,1.6 (2022)
406,Journal of Medical Case Reports,,,
407,Journal of Medical Humanities,1041-3545,1573-3645,0.9 (2022)
408,Journal of Medical Systems,,,5.3 (2022)
409,Journal of Medical Toxicology,1556-9039,1937-6995,2.9 (2022)
410,Journal of Medical Ultrasonics,1346-4523,1613-2254,1.8 (2022)
411,Journal of Medical and Biological Engineering,1609-0985,2199-4757,2.0 (2022)
412,Journal of Medicine and the Person,,,
413,Journal of Membrane Computing,2523-8906,2523-8914,3.8 (2022)
414,Journal of Meteorological Research,2095-6037,2198-0934,3.2 (2022)
415,Journal of Micro and Bio Robotics,2194-6418,2194-6426,2.3 (2022)
416,Journal of Microbiology,1225-8873,1976-3794,3.0 (2022)
417,Journal of Mining Science,1062-7391,1573-8736,0.8 (2022)
418,Journal of Modern Power Systems and Clean Energy,,,
419,Journal of Molecular Evolution,0022-2844,1432-1432,3.9 (2022)
420,Journal of Molecular Histology,1567-2379,1567-2387,3.2 (2022)
421,Journal of Molecular Medicine,0946-2716,1432-1440,4.7 (2022)
422,Journal of Molecular Modeling,1610-2940,0948-5023,2.2 (2022)
423,Journal of Molecular Neuroscience,,,3.1 (2022)
424,Journal of Molecular Psychiatry,,,
425,Journal of Molecular Signaling,,,
426,Journal of Mountain Science,1672-6316,1993-0321,2.5 (2022)
427,Journal of Muscle Research and Cell Motility,0142-4319,1573-2657,2.7 (2022)
428,Journal of Nanobiotechnology,,,
429,Journal of Nanoparticle Research,1388-0764,1572-896X,2.5 (2022)
430,Journal of Nanostructure in Chemistry,,,10.1 (2022)
431,Journal of Natural Medicines,1340-3443,1861-0293,3.3 (2022)
432,Journal of Near-Death Studies,,,
433,Journal of Negative Results in BioMedicine,,,
434,Journal of Nephrology,,,3.4 (2022)
435,Journal of Network and Systems Management,1064-7570,1573-7705,3.6 (2022)
436,,,,
437,AAPS Open,,,
438,AAPS PharmSciTech,,,3.3 (2022)
439,ADHD Attention Deficit and Hyperactivity Disorders,,,
440,AI & SOCIETY,0951-5666,1435-5655,3.0 (2022)
441,AI Perspectives & Advances,,,
442,AI and Ethics,2730-5953,2730-5961,7 days
443,,,,
444,AIDS Research and Therapy,,,
445,AIDS and Behavior,1090-7165,1573-3254,4.4 (2022)
446,AMB Express,,,
447,AMS Review,1869-814X,1869-8182,21 days
448,ANNALI DELL'UNIVERSITA' DI FERRARA,0430-3202,1827-1510,13 days
449,A R I,,,
450,ASEAN Heart Journal,,,
451,AStA Advances in Statistical Analysis,1863-8171,1863-818X,1.4 (2022)
452,AStA Wirtschafts- und Sozialstatistisches Archiv,1863-8155,1863-8163,33 days
453,ATZ - Automobiltechnische Zeitschrift,0001-2785,2192-8800,"120,514 (2022)"
454,ATZ worldwide,,,"73,427 (2022)"
455,ATZagenda,,,
456,ATZautotechnology,,,
457,ATZelectronics worldwide,,,"44,970 (2022)"
458,ATZelektronik,1862-1791,2192-8878,"55,569 (2022)"
459,ATZextra,,,
460,ATZextra worldwide,,,
461,ATZheavy duty,,,"17,138 (2022)"
462,ATZheavy duty worldwide,,,"21,588 (2022)"
463,ATZproduction worldwide,,,
464,ATZproduktion,,,
465,Abdominal Radiology,2366-004X,2366-0058,2.4 (2022)
466,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,0025-5858,1865-8784,0.4 (2022)
467,Academic Psychiatry,1042-9670,1545-7230,2.5 (2022)
468,Accreditation and Quality Assurance,0949-1775,1432-0517,0.9 (2022)
